locality,property_type,bathrooms,bedrooms2,floor,furnished_status,brand_new,sqft,price
Adibatla,Apartment,2,2,5,Unfurnished,New Property,1032,3741000
Adibatla,Apartment,2,2,3,Unfurnished,Resale,1100,3830000
Adibatla,Apartment,2,2,4,Unfurnished,Resale,900,5000000
Adibatla,Apartment,3,3,5,Unfurnished,Resale,1497,5739500
Adibatla,Apartment,2,2,2,Semi-Furnished,Resale,900,5200000
Adibatla,Apartment,2,2,2,Semi-Furnished,New Property,1130,6500000
Adibatla,Builder Floor Apartment,2,2,3,Unfurnished,Resale,1100,3800000
Adibatla,Builder Floor Apartment,2,2,2,Semi-Furnished,Resale,793,4500000
Adibatla,Apartment,2,2,1,Furnished,Resale,900,5000000
Adibatla,Apartment,2,2,2,Unfurnished,Resale,1100,3900000
Adibatla,Apartment,2,2,2,Unfurnished,New Property,800,4600000
Adibatla,Apartment,2,2,3,Unfurnished,Resale,1192,4500000
Adibatla,Apartment,2,2,3,Unfurnished,Resale,1000,4200000
"Alkapur Township, Manikonda, Outer Ring Road",Apartment,3,3,4,Semi-Furnished,Resale,1644,8000000
"Alkapur Township, Manikonda, Outer Ring Road",Apartment,3,3,2,Semi-Furnished,New Property,1883,12000000
"Alkapur Township, Manikonda, Outer Ring Road",Apartment,3,3,5,Furnished,Resale,1550,9000000
"Alkapur Township, Manikonda, Outer Ring Road",Apartment,2,3,2,Furnished,Resale,1604,8800000
"Alkapur Township, Manikonda, Outer Ring Road",Apartment,2,3,2,Semi-Furnished,Resale,1300,7200000
"Alkapur Township, Manikonda, Outer Ring Road",Apartment,3,3,5,Unfurnished,Resale,2200,13500000
"Alkapur Township, Manikonda, Outer Ring Road",Apartment,2,2,4,Semi-Furnished,Resale,900,4700000
"Alkapur Township, Manikonda, Outer Ring Road",Apartment,2,3,1,Furnished,New Property,1585,9500000
"Alkapur Township, Manikonda, Outer Ring Road",Apartment,3,3,2,Unfurnished,New Property,1709,9000000
"Alkapur Township, Manikonda, Outer Ring Road",Apartment,1,2,1,Semi-Furnished,Resale,1200,6000000
"Alkapur Township, Manikonda, Outer Ring Road",Apartment,2,2,2,Unfurnished,Resale,1125,5900000
"Alkapur Township, Manikonda, Outer Ring Road",Apartment,2,2,5,Unfurnished,Resale,1300,6800000
"Alkapur Township, Manikonda, Outer Ring Road",Apartment,3,3,2,Furnished,Resale,1960,12000000
"Alkapur Township, Manikonda, Outer Ring Road",Apartment,2,2,5,Unfurnished,Resale,1350,7500000
"Alkapur Township, Manikonda, Outer Ring Road",Apartment,2,2,5,Unfurnished,Resale,1250,7200000
"Alkapur Township, Manikonda, Outer Ring Road",Apartment,3,3,1,Unfurnished,Resale,1358,7061600
"Alkapur Township, Manikonda, Outer Ring Road",Apartment,2,2,3,Unfurnished,Resale,1237,7500000
"Alkapur Township, Manikonda, Outer Ring Road",Apartment,2,2,5,Semi-Furnished,Resale,1086,6700000
"Alkapur Township, Manikonda, Outer Ring Road",Apartment,2,2,2,Unfurnished,New Property,900,4500000
"Alkapur Township, Manikonda, Outer Ring Road",Apartment,3,3,3,Unfurnished,New Property,1729,9700000
"Alkapur Township, Manikonda, Outer Ring Road",Apartment,3,3,5,Furnished,Resale,1620,8500000
"Alkapur Township, Manikonda, Outer Ring Road",Apartment,3,3,4,Unfurnished,Resale,1225,7600000
"Alkapur Township, Manikonda, Outer Ring Road",Apartment,2,2,4,Semi-Furnished,Resale,900,4700000
"Alkapur Township, Manikonda, Outer Ring Road",Apartment,3,3,4,Unfurnished,Resale,1644,7800000
"Alkapur Township, Manikonda, Outer Ring Road",Apartment,2,2,2,Furnished,Resale,1100,6500000
"Alkapur Township, Manikonda, Outer Ring Road",Apartment,2,2,2,Semi-Furnished,Resale,1050,5400000
"Alkapur Township, Manikonda, Outer Ring Road",Apartment,2,2,1,Unfurnished,Resale,900,5700000
"Alkapur Township, Manikonda, Outer Ring Road",Apartment,2,3,5,Unfurnished,New Property,1380,8000000
"Alkapur Township, Manikonda, Outer Ring Road",Apartment,2,2,4,Unfurnished,Resale,900,4500000
"Alkapur Township, Manikonda, Outer Ring Road",Apartment,3,3,1,Furnished,Resale,1220,6300000
"Alkapur Township, Manikonda, Outer Ring Road",Apartment,2,2,2,Semi-Furnished,Resale,1025,6500000
"Alkapur Township, Manikonda, Outer Ring Road",Apartment,3,3,4,Unfurnished,Resale,1545,8951000
"Alkapur Township, Manikonda, Outer Ring Road",Apartment,3,3,2,Unfurnished,Resale,1300,6800000
"Alkapur Township, Manikonda, Outer Ring Road",Apartment,3,3,1,Unfurnished,Resale,1632,8160000
"Alkapur Township, Manikonda, Outer Ring Road",Apartment,2,2,2,Semi-Furnished,Resale,1230,6000000
"Alkapur Township, Manikonda, Outer Ring Road",Apartment,3,3,2,Furnished,Resale,1530,7500000
"Alkapur Township, Manikonda, Outer Ring Road",Apartment,2,2,4,Unfurnished,Resale,820,4100000
"Alkapur Township, Manikonda, Outer Ring Road",Apartment,2,2,4,Furnished,Resale,1000,5000000
"Alkapur Township, Manikonda, Outer Ring Road",Apartment,3,3,5,Unfurnished,Resale,1532,9200000
"Alkapur Township, Manikonda, Outer Ring Road",Apartment,2,2,1,Unfurnished,Resale,1225,6000000
"Alkapur Township, Manikonda, Outer Ring Road",Apartment,3,3,2,Furnished,Resale,1865,12000000
"Alkapur Township, Manikonda, Outer Ring Road",Apartment,2,3,2,Unfurnished,Resale,1325,8000000
"Alkapur Township, Manikonda, Outer Ring Road",Apartment,2,2,0,Semi-Furnished,Resale,1160,7200000
"Alkapur Township, Manikonda, Outer Ring Road",Apartment,2,2,2,Furnished,Resale,1325,8300000
"Alkapur Township, Manikonda, Outer Ring Road",Apartment,3,3,4,Semi-Furnished,Resale,1550,8800000
"Alkapur Township, Manikonda, Outer Ring Road",Apartment,2,3,1,Semi-Furnished,Resale,1612,9500000
"Alkapur Township, Manikonda, Outer Ring Road",Apartment,2,3,2,Unfurnished,Resale,1545,7800000
"Alkapur Township, Manikonda, Outer Ring Road",Apartment,2,2,1,Unfurnished,Resale,1175,5500000
"Alkapur Township, Manikonda, Outer Ring Road",Apartment,2,2,1,Unfurnished,New Property,1200,6200000
"Alkapur Township, Manikonda, Outer Ring Road",Apartment,3,3,1,Furnished,Resale,2045,11500000
"Alkapur Township, Manikonda, Outer Ring Road",Apartment,2,2,1,Semi-Furnished,Resale,900,5500000
Allwyn Colony,Apartment,2,2,4,Semi-Furnished,Resale,1120,6000000
Allwyn Colony,Apartment,2,2,2,Unfurnished,Resale,900,4800000
Allwyn Colony,Builder Floor Apartment,2,2,3,Unfurnished,Resale,1075,7500000
Allwyn Colony,Apartment,3,3,1,Semi-Furnished,Resale,1300,10000000
Allwyn Colony,Apartment,2,2,5,Furnished,Resale,1080,5000000
Allwyn Colony,Residential House,5,5,0,Semi-Furnished,Resale,2700,12000000
Almasguda,Residential House,3,4,0,Unfurnished,New Property,2200,12500000
Almasguda,Residential House,2,2,1,Unfurnished,Resale,855,5200000
Almasguda,Apartment,2,2,5,Unfurnished,Resale,1230,4800000
Almasguda,Residential House,4,2,1,Unfurnished,Resale,2300,11000000
Almasguda,Apartment,2,2,4,Unfurnished,Resale,1100,5000000
Almasguda,Residential House,3,2,0,Unfurnished,New Property,1100,5600000
Almasguda,Residential House,2,2,1,Unfurnished,Resale,1150,7100000
Alwal,Apartment,2,2,1,Unfurnished,New Property,1226,6068700
Alwal,Apartment,2,2,1,Unfurnished,New Property,1100,6300000
Alwal,Apartment,2,2,5,Furnished,Resale,1075,5300000
Alwal,Apartment,2,2,1,Unfurnished,Resale,1000,4900000
Alwal,Apartment,2,2,2,Semi-Furnished,Resale,1158,5800000
Alwal,Apartment,3,2,4,Furnished,Resale,1200,6000000
Alwal,Apartment,2,2,2,Semi-Furnished,Resale,1030,5500000
Alwal,Apartment,3,3,5,Unfurnished,Resale,2060,12000000
Alwal,Builder Floor Apartment,2,2,5,Semi-Furnished,Resale,1055,5600000
Alwal,Apartment,2,2,5,Semi-Furnished,Resale,1055,5500000
Alwal,Apartment,3,3,2,Unfurnished,Resale,1100,4500000
Alwal,Apartment,2,2,5,Semi-Furnished,Resale,1230,5000000
Alwal,Apartment,3,3,4,Furnished,Resale,1620,8000000
Alwal,Apartment,2,2,2,Unfurnished,Resale,950,4030000
Alwal,Residential House,5,4,0,Unfurnished,New Property,2500,14500000
Alwal,Apartment,2,2,1,Furnished,Resale,1000,4730000
Amberpet,Apartment,3,3,1,Furnished,Resale,1475,10500000
Amberpet,Builder Floor Apartment,2,2,2,Semi-Furnished,Resale,845,3800000
